h,width,abserr
1,0.030881852763839035,0.01604797391137061
2,0.040314264690502644,0.01652661466570375
3,0.04974667661716628,0.013383693086011589
4,0.05917908854383,0.012493147147040043
5,0.06861150047049361,0.010560037250475857
6,0.07804391239715727,0.024819735073530164
7,0.08747632432382091,0.018179220702254556
8,0.09690873625048457,0.016463524654198772
9,0.10634114817714821,0.017837865244084844
10,0.1157735601038119,0.020539680962262177
11,0.1252059720304755,0.02041945728983742
12,0.13463838395713917,0.019846642900976846
13,0.14407079588380284,0.022520055176744852
14,0.15350320781046647,0.0224238369713253
15,0.16293561973713017,0.02321974317821307
16,0.17236803166379377,0.02479481905744349
17,0.18180044359045744,0.024332367295908555
18,0.19123285551712108,0.02646326312965773
19,0.20066526744378474,0.032613794485500364
20,0.21009767937044838,0.03429380878736964
21,0.21953009129711204,0.03278268609254774
22,0.22896250322377562,0.030960290413815317
23,0.23839491515043928,0.03167272073370529
24,0.24782732707710298,0.03032820705031669
25,0.25725973900376664,0.027234199952132207
26,0.2666921509304302,0.03305437936076887
27,0.27612456285709386,0.03616831345930972
28,0.28555697478375763,0.032464491711033466
29,0.29498938671042124,0.03277531572042541
30,0.3044217986370849,0.05567373188043456
31,0.31385421056374846,0.05343578062282055
32,0.3232866224904122,0.050275490093176806
33,0.33271903441707584,0.04919455368404806
34,0.3421514463437395,0.04547553074375142
35,0.35158385827040306,0.04352404836537213
36,0.20964054101592305,0.030892240597291704
37,0.2147291575606755,0.03340067695739585
38,0.21981777410542797,0.03195712863057476
39,0.22490639065018042,0.033683549646062266
40,0.22999500719493277,0.03383474836577455
41,0.23508362373968517,0.033441688577787176
42,0.24017224028443757,0.03302547883331122
43,0.24526085682919002,0.03215090019489572
44,0.2503494733739424,0.030832440921626236
45,0.2554380899186948,0.031797061690732015
46,0.2605267064634472,0.030923680725379515
47,0.2656153230081997,0.03075023744281649
48,0.2707039395529521,0.03128871643381001
49,0.27579255609770453,0.029696521698604872
50,0.28088117264245693,0.034415049463457664
51,0.28596978918720933,0.03147211042592041
52,0.29105840573196173,0.029518890666873215
53,0.29614702227671424,0.030777589768288344
54,0.30123563882146664,0.032232874974483405
55,0.30632425536621904,0.040137160881760336
56,0.31141287191097144,0.03753797166322145
57,0.31650148845572385,0.03629366950667132
58,0.3215901050004763,0.0373893519215954
59,0.3266787215452287,0.034698557707114386
60,0.3317673380899811,0.037690079924743214
61,0.3368559546347335,0.036064208148378324
62,0.341944571179486,0.03642848584690811
63,0.3470331877242384,0.037678003544679955
64,0.35212180426899076,0.03641095874876604
65,0.35721042081374316,0.0371572502001736
66,0.3622990373584956,0.03716824640539784
67,0.31600239726533763,0.05222782782711194
68,0.3203436176535341,0.04855979974599223
69,0.32468483804173054,0.04812270486028083
70,0.32902605842992694,0.046604162659663086
71,0.33336727881812345,0.04595787557598804
72,0.33770849920631996,0.047094897859805494
73,0.3420497195945164,0.04548288319185203
74,0.3463909399827129,0.046585060276901256
75,0.3507321603709093,0.046876371564277486
76,0.35507338075910594,0.04532062508876831
77,0.3594146011473023,0.045529252041528544
78,0.3637558215354988,0.045667460913930626
79,0.3680970419236953,0.045890285973962476
80,0.37243826231189175,0.043525358848915306
81,0.3767794827000883,0.047328257828806786
82,0.3811207030882848,0.04653336255619489
83,0.38546192347648117,0.05176986522060362
84,0.3898031438646776,0.06049039980794455
